bairro,tipologia,k_inf,k_sup,pct_corte_baixo,pct_corte_alto,escrituras
FLAMENGO,Apartamento,2.0,2.5,0.49,8.67,2052
FLAMENGO,Apartamento,2.5,3.0,0.24,5.95,2052
FLAMENGO,Apartamento,3.0,3.5,0.24,4.97,2052
FLAMENGO,Casa,2.0,2.5,0.00,0.00,4
FLAMENGO,Casa,2.5,3.0,0.00,0.00,4
FLAMENGO,Casa,3.0,3.5,0.00,0.00,4
FREGUESIA (ILHA),Apartamento,2.0,2.5,2.11,0.00,95
FREGUESIA (ILHA),Apartamento,2.5,3.0,2.11,0.00,95
FREGUESIA (ILHA),Apartamento,3.0,3.5,0.00,0.00,95
FREGUESIA (ILHA),Casa,2.0,2.5,0.00,0.00,8
FREGUESIA (ILHA),Casa,2.5,3.0,0.00,0.00,8
FREGUESIA (ILHA),Casa,3.0,3.5,0.00,0.00,8
FREGUESIA (JACAREPAGUÁ),Apartamento,2.0,2.5,1.63,0.00,1659
FREGUESIA (JACAREPAGUÁ),Apartamento,2.5,3.0,0.66,0.00,1659
FREGUESIA (JACAREPAGUÁ),Apartamento,3.0,3.5,0.18,0.00,1659
FREGUESIA (JACAREPAGUÁ),Casa,2.0,2.5,20.59,0.00,68
FREGUESIA (JACAREPAGUÁ),Casa,2.5,3.0,17.65,0.00,68
FREGUESIA (JACAREPAGUÁ),Casa,3.0,3.5,8.82,0.00,68
GAMBOA,Apartamento,2.0,2.5,0.00,0.00,15
GAMBOA,Apartamento,2.5,3.0,0.00,0.00,15
GAMBOA,Apartamento,3.0,3.5,0.00,0.00,15
GAMBOA,Casa,2.0,2.5,0.00,0.00,5
GAMBOA,Casa,2.5,3.0,0.00,0.00,5
GAMBOA,Casa,3.0,3.5,0.00,0.00,5
GARDÊNIA AZUL,Apartamento,2.0,2.5,0.00,0.00,4
GARDÊNIA AZUL,Apartamento,2.5,3.0,0.00,0.00,4
GARDÊNIA AZUL,Apartamento,3.0,3.5,0.00,0.00,4
GARDÊNIA AZUL,Casa,2.0,2.5,0.00,0.00,9
GARDÊNIA AZUL,Casa,2.5,3.0,0.00,0.00,9
GARDÊNIA AZUL,Casa,3.0,3.5,0.00,0.00,9
GÁVEA,Apartamento,2.0,2.5,1.39,4.57,503
GÁVEA,Apartamento,2.5,3.0,0.40,0.00,503
GÁVEA,Apartamento,3.0,3.5,0.00,0.00,503
GÁVEA,Casa,2.0,2.5,0.00,0.00,8
GÁVEA,Casa,2.5,3.0,0.00,0.00,8
GÁVEA,Casa,3.0,3.5,0.00,0.00,8
GLÓRIA,Apartamento,2.0,2.5,0.00,20.39,412
GLÓRIA,Apartamento,2.5,3.0,0.00,17.23,412
GLÓRIA,Apartamento,3.0,3.5,0.00,16.26,412
GRAJAÚ,Apartamento,2.0,2.5,5.51,0.00,472
GRAJAÚ,Apartamento,2.5,3.0,3.60,0.00,472
GRAJAÚ,Apartamento,3.0,3.5,1.48,0.00,472
GRAJAÚ,Casa,2.0,2.5,0.00,0.00,22
GRAJAÚ,Casa,2.5,3.0,0.00,0.00,22
GRAJAÚ,Casa,3.0,3.5,0.00,0.00,22
GUADALUPE,Apartamento,2.0,2.5,0.00,0.00,9
GUADALUPE,Apartamento,2.5,3.0,0.00,0.00,9
GUADALUPE,Apartamento,3.0,3.5,0.00,0.00,9
GUADALUPE,Casa,2.0,2.5,0.00,0.00,10
GUADALUPE,Casa,2.5,3.0,0.00,0.00,10
GUADALUPE,Casa,3.0,3.5,0.00,0.00,10
GUARATIBA,Apartamento,2.0,2.5,1.80,1.80,111
GUARATIBA,Apartamento,2.5,3.0,1.80,1.80,111
GUARATIBA,Apartamento,3.0,3.5,1.80,1.80,111
GUARATIBA,Casa,2.0,2.5,6.06,3.03,132
GUARATIBA,Casa,2.5,3.0,0.00,3.03,132
GUARATIBA,Casa,3.0,3.5,0.00,0.00,132
HIGIENÓPOLIS,Apartamento,2.0,2.5,9.09,7.27,55
HIGIENÓPOLIS,Apartamento,2.5,3.0,9.09,3.64,55
HIGIENÓPOLIS,Apartamento,3.0,3.5,9.09,0.00,55
HIGIENÓPOLIS,Casa,2.0,2.5,20.00,0.00,10
HIGIENÓPOLIS,Casa,2.5,3.0,20.00,0.00,10
HIGIENÓPOLIS,Casa,3.0,3.5,20.00,0.00,10
HONÓRIO GURGEL,Apartamento,2.0,2.5,0.00,28.57,7
HONÓRIO GURGEL,Apartamento,2.5,3.0,0.00,28.57,7
HONÓRIO GURGEL,Apartamento,3.0,3.5,0.00,28.57,7
