bairro,tipologia,k_inf,k_sup,escrituras,pct_corte_baixo,pct_corte_alto,mediana_m2,cerca_inferior_m2,cerca_superior_m2
CAMPO DOS AFONSOS,Apartamento,2.5,3.0,154,3.25,,4123,3133,5734
CAMPO DOS AFONSOS,Apartamento,3.0,3.5,154,3.25,,4123,2965,6058
SANTA CRUZ,Apartamento,2.0,2.5,154,5.19,,2999,2388,3986
SANTA CRUZ,Apartamento,2.5,3.0,154,1.30,,2999,2256,4220
SANTA CRUZ,Apartamento,3.0,3.5,154,1.30,,2999,2131,4467
JARDIM SULACAP,Apartamento,2.0,2.5,146,4.11,,3761,2943,5111
JARDIM SULACAP,Apartamento,2.5,3.0,146,1.37,,3761,2768,5435
JARDIM SULACAP,Apartamento,3.0,3.5,146,1.37,,3761,2603,5778
OLARIA,Apartamento,2.0,2.5,143,,,3160,1958,5746
OLARIA,Apartamento,2.5,3.0,143,,,3160,1738,6475
OLARIA,Apartamento,3.0,3.5,143,,,3160,1542,7298
FREGUESIA (ILHA),Apartamento,2.0,2.5,132,,,3703,2424,6286
FREGUESIA (ILHA),Apartamento,2.5,3.0,132,,,3703,2181,6988
FREGUESIA (ILHA),Apartamento,3.0,3.5,132,,,3703,1962,7769
BANGU,Casa,2.0,2.5,131,1.53,7.63,1913,1223,3349
BANGU,Casa,2.5,3.0,131,,,1913,1093,3746
BANGU,Casa,3.0,3.5,131,,,1913,977,4189
RAMOS,Apartamento,2.0,2.5,131,,,3529,2001,7171
RAMOS,Apartamento,2.5,3.0,131,,,3529,1736,8264
RAMOS,Apartamento,3.0,3.5,131,,,3529,1507,9524
MADUREIRA,Apartamento,2.0,2.5,130,,,3014,1698,6176
